customer_type;age;type_of_travel;class;flight_distanced;inflight_wifi_service;ease_of_online_booking;food_and_drink;online_boarding;seat_comfort;inflight_entertainment;on-board_service;leg_room_service;baggage_handling;checking_service;inflight_service;cleanliness;average_service_rating;satisfaction
1;24;1;2;3680;4;4;2;2;2;2;5;5;5;5;4;2;3,5;1
1;22;1;0;1521;4;1;4;4;4;4;1;4;1;1;5;4;3,083333333;1
1;44;1;2;1543;3;3;5;4;5;5;5;5;5;5;5;5;4,583333333;1
1;51;1;0;235;4;3;4;4;4;4;3;2;3;3;4;4;3,5;0
1;43;0;2;1235;1;1;1;1;4;3;3;1;5;4;3;5;2,666666667;0
1;56;1;0;308;2;3;5;2;5;2;2;2;2;2;2;2;2,583333333;1
0;41;1;0;624;2;2;5;2;5;5;4;3;3;1;4;5;3,416666667;0
1;22;0;0;1846;4;4;5;4;5;5;5;4;4;4;4;5;4,416666667;0
1;53;1;0;192;5;2;3;4;2;5;5;5;5;2;5;4;3,916666667;1
1;12;0;0;674;3;3;1;3;1;1;3;3;5;4;4;1;2,666666667;0
1;39;1;2;370;3;3;2;4;5;4;4;4;4;4;4;5;3,833333333;1
1;55;1;2;3169;1;1;3;5;4;5;5;5;5;3;5;5;3,916666667;1
0;32;1;2;802;4;4;2;4;4;2;4;2;4;3;5;2;3,333333333;0
1;40;0;0;628;1;1;5;1;5;5;3;2;5;5;4;5;3,5;0
0;42;1;2;373;3;3;4;3;4;4;3;2;5;5;5;4;3,75;0
0;24;1;0;725;4;4;2;4;2;2;4;2;3;1;5;2;2,916666667;1
1;22;1;2;277;3;3;3;3;3;1;5;4;3;3;2;3;3;0
1;28;1;2;1024;1;1;4;4;4;4;5;3;5;5;4;4;3,666666667;1
1;36;1;1;267;2;3;2;2;2;2;1;1;3;4;4;2;2,333333333;0
1;62;1;0;550;5;1;4;2;1;5;5;5;5;5;5;2;3,75;1
1;60;1;2;1889;2;3;3;5;4;5;5;5;5;5;5;3;4,166666667;1
1;59;0;0;460;2;2;3;3;4;5;5;2;4;1;5;2;3,166666667;0
1;49;1;2;3295;4;3;2;5;4;5;5;5;5;5;5;3;4,25;1
1;44;0;0;1205;2;2;4;4;3;4;4;2;4;2;4;2;3,083333333;0
1;58;0;1;990;3;2;3;4;5;1;1;2;1;5;1;3;2,583333333;0
0;24;1;2;444;4;4;2;4;2;2;5;3;5;3;5;2;3,416666667;1
1;53;1;0;520;4;2;3;3;4;4;4;4;4;3;4;3;3,5;1
1;56;1;0;321;2;4;2;2;2;2;2;5;3;3;3;2;2,666666667;0
1;30;1;2;651;3;4;5;5;5;5;4;5;4;3;5;5;4,416666667;1
0;27;1;2;764;3;3;2;3;2;2;2;1;3;3;2;2;2,333333333;0
1;27;1;2;566;3;3;5;5;5;5;4;3;1;1;1;5;3,416666667;1
1;67;0;0;626;3;3;2;4;5;3;3;3;3;3;3;5;3,333333333;0
1;32;0;0;130;3;3;4;3;5;4;2;2;4;5;3;4;3,5;0
0;36;1;0;331;2;2;1;2;1;1;4;3;4;1;3;1;2,083333333;0
1;44;1;2;158;3;3;5;4;5;4;4;5;4;4;4;5;4,166666667;1
1;70;0;0;1829;1;1;2;5;5;5;5;1;5;4;5;3;3,5;0
1;55;0;0;646;3;3;4;3;4;5;5;3;5;4;5;3;3,916666667;0
1;66;1;0;404;4;1;4;4;4;4;3;1;3;2;5;4;3,25;1
1;19;1;2;2738;5;5;3;4;3;3;5;3;3;1;2;3;3,333333333;1
1;53;0;1;964;1;1;4;4;5;4;4;1;4;5;4;4;3,416666667;0
1;22;1;2;1660;2;2;2;2;2;2;4;3;2;2;4;2;2,416666667;0
1;69;0;0;872;2;2;4;2;3;5;5;2;5;3;5;3;3,416666667;0
1;42;1;2;1898;5;5;5;4;4;5;5;5;5;4;5;3;4,583333333;1
1;41;1;2;967;2;2;2;3;5;4;4;4;4;5;4;5;3,666666667;1
1;53;0;2;1242;3;3;3;3;5;1;1;3;1;4;1;4;2,666666667;0
1;35;1;2;1042;3;2;2;4;3;3;3;3;3;3;3;2;2,833333333;0
1;54;0;2;153;3;3;2;4;5;2;2;3;2;4;2;5;3,083333333;0
1;44;1;2;366;3;2;2;5;4;4;4;4;4;3;4;4;3,583333333;1
0;26;1;1;913;1;2;4;2;3;4;3;2;1;1;4;4;2,583333333;0
1;44;0;0;528;2;2;2;5;4;5;5;2;5;3;5;3;3,583333333;0
0;24;1;0;1172;2;3;5;3;5;5;4;5;5;4;5;5;4,25;0
1;54;0;0;999;2;2;4;5;5;5;5;2;5;5;5;4;4,083333333;0
1;42;1;1;489;2;2;2;2;2;2;4;3;3;1;2;2;2,25;0
0;36;1;0;692;1;1;1;1;1;1;1;5;3;1;2;1;1,583333333;0
1;61;1;2;1585;2;3;1;1;5;3;3;4;3;4;3;4;3;1
1;50;0;0;140;2;2;4;4;5;2;2;2;2;3;2;5;2,916666667;0
1;27;1;2;2729;3;3;5;5;5;5;4;4;4;5;2;5;4,166666667;1
1;55;1;2;1400;3;5;4;3;2;3;3;3;3;1;3;4;3,083333333;0
0;21;1;0;447;2;1;1;1;1;1;4;4;3;4;3;1;2,166666667;0
1;31;0;2;334;2;2;5;2;5;5;2;4;3;2;4;5;3,416666667;0
0;37;1;0;158;1;1;1;1;1;1;1;4;3;4;3;1;1,833333333;0
1;50;1;2;3696;1;5;2;4;4;5;5;5;5;4;5;5;4,166666667;1
1;21;0;0;846;1;1;3;1;3;3;5;4;5;4;5;3;3,166666667;0
1;53;1;0;329;1;0;1;3;3;4;4;1;4;4;4;1;2,5;0
1;45;1;2;2580;3;3;3;4;4;5;5;5;5;3;5;4;4,083333333;1
0;42;1;0;84;3;3;5;3;5;5;5;5;3;5;4;5;4,25;0
1;59;1;2;3358;3;3;3;5;4;4;4;4;4;4;4;3;3,75;1
1;54;1;0;308;2;4;5;3;3;2;2;2;2;4;2;1;2,666666667;0
1;46;1;2;912;1;1;2;4;4;4;4;4;4;5;4;4;3,416666667;1
1;52;0;1;406;3;3;2;5;4;2;2;3;2;3;2;4;2,916666667;0
1;38;0;0;397;2;2;5;2;5;5;5;4;4;5;5;5;4,083333333;0
1;35;1;2;2409;3;3;1;4;3;4;4;4;4;3;4;3;3,333333333;1
1;41;0;0;545;2;2;4;2;4;4;1;3;4;1;4;4;2,916666667;0
0;40;1;2;2419;2;2;4;2;4;4;3;2;3;3;5;4;3,166666667;0
0;36;1;0;1061;2;2;4;2;4;4;1;4;2;4;2;4;2,916666667;0
1;67;0;0;899;2;2;2;2;2;2;5;2;4;5;5;2;2,916666667;0
1;38;0;0;293;4;4;5;4;5;5;2;2;4;4;4;5;4;1
1;50;0;0;1085;3;3;5;5;5;5;5;3;5;3;5;4;4,25;0
1;50;1;2;2475;5;5;2;5;4;2;2;2;2;3;2;5;3,25;1
1;54;1;2;2544;5;3;5;4;5;3;3;3;3;4;3;5;3,833333333;1
1;56;1;2;2556;4;4;4;5;4;4;4;4;4;3;4;5;4,083333333;1
1;38;0;0;237;3;3;2;3;2;2;3;3;4;4;3;2;2,833333333;0
1;7;0;0;1120;3;3;2;3;2;2;4;4;4;5;5;2;3,25;0
1;32;1;2;2668;5;4;4;4;4;4;5;2;5;5;5;4;4,25;1
1;45;1;0;1660;4;1;4;4;4;4;2;5;2;4;3;4;3,416666667;0
0;25;1;0;1310;2;2;3;2;3;3;1;4;3;1;4;3;2,583333333;0
1;45;1;2;2374;5;5;4;5;4;4;4;4;4;5;4;5;4,416666667;1
1;34;0;0;209;3;0;1;0;1;1;1;5;5;2;3;1;1,916666667;0
1;20;0;1;305;3;3;1;3;1;1;3;3;4;4;5;1;2,666666667;0
0;36;1;0;247;2;2;1;2;1;1;4;1;3;1;2;1;1,75;0
0;36;1;0;338;3;3;2;3;2;2;3;4;3;1;3;2;2,583333333;0
1;27;1;2;3200;1;1;5;5;5;5;4;5;2;2;1;5;3,416666667;1
1;40;0;0;1368;3;2;3;2;3;3;4;2;3;3;4;3;2,916666667;0
1;31;1;2;1999;4;4;5;5;5;5;4;4;4;3;4;5;4,333333333;1
1;25;1;1;680;0;0;1;0;1;1;3;1;4;5;5;1;1,833333333;1
1;42;1;2;537;2;2;1;5;3;5;5;5;5;4;5;3;3,75;1
1;45;1;0;288;5;1;1;2;3;5;5;5;5;1;5;3;3,416666667;1
1;59;0;2;639;2;2;4;3;3;3;3;2;3;2;3;1;2,583333333;0
1;34;0;0;201;3;3;2;3;5;2;5;2;1;3;1;2;2,666666667;0
1;22;0;0;213;3;3;3;3;1;3;1;5;1;3;2;3;2,583333333;0
1;21;0;0;1096;2;2;2;2;3;2;3;1;3;2;4;2;2,333333333;0
1;26;1;2;1680;3;1;3;3;3;3;1;2;4;2;3;3;2,583333333;0
1;37;1;2;2401;2;2;5;3;1;4;4;4;4;1;4;5;3,25;1
1;38;1;2;2746;2;2;2;5;2;4;4;4;4;1;4;5;3,25;1
1;17;0;0;89;3;3;5;3;3;5;3;4;5;5;5;5;4,083333333;0
1;15;0;1;192;2;2;5;2;5;5;5;4;5;5;5;5;4,166666667;0
1;53;0;0;404;3;3;4;4;4;5;5;3;5;1;5;2;3,666666667;0
0;39;1;2;546;4;4;2;4;2;2;3;5;5;3;4;2;3,333333333;0
1;40;1;2;2400;4;4;2;4;5;5;5;5;5;3;5;3;4,166666667;1
0;28;1;1;599;2;2;4;2;4;4;3;3;3;1;3;4;2,916666667;0
0;27;1;2;2342;3;3;2;3;2;2;4;3;5;3;5;2;3,083333333;0
1;41;1;2;3046;5;5;3;5;5;4;4;4;4;4;4;5;4,333333333;1
1;7;0;0;516;2;2;5;2;5;5;5;4;5;5;4;5;4,083333333;0
0;48;1;2;759;3;3;2;3;2;2;4;2;5;4;5;2;3,083333333;0
1;13;1;0;1400;2;1;2;1;2;2;4;3;3;3;4;2;2,416666667;0
1;48;1;2;491;3;3;4;4;4;4;4;4;4;3;4;5;3,833333333;1
1;49;0;0;134;3;3;5;3;3;4;4;3;4;1;4;4;3,416666667;0
0;26;1;2;900;5;5;1;5;1;1;4;3;5;5;5;1;3,416666667;1
1;22;1;2;3648;2;2;3;3;3;3;2;4;3;5;3;3;3;1
1;53;1;2;3769;3;5;1;3;1;2;4;3;4;1;2;1;2,5;0
1;43;1;0;563;4;4;3;5;5;4;4;4;4;5;4;5;4,25;1
1;56;1;2;3131;1;1;2;5;4;4;4;4;5;4;4;5;3,583333333;1
1;69;0;0;631;3;2;3;3;4;5;5;2;5;1;5;1;3,25;0
1;59;0;0;351;4;4;1;4;1;1;1;5;4;2;4;1;2,666666667;1
1;56;1;2;1189;5;3;5;4;5;2;2;2;2;4;2;3;3,25;1
1;11;0;0;562;5;5;3;5;3;3;4;4;5;1;2;3;3,583333333;1
1;25;1;0;1874;4;3;4;4;3;4;3;1;4;5;1;4;3,333333333;1
0;29;1;0;158;4;4;2;4;2;2;1;5;2;2;2;2;2,666666667;1
1;48;1;0;95;5;3;1;2;1;5;5;5;5;1;5;2;3,333333333;1
1;42;1;2;266;1;1;4;3;4;4;4;4;4;2;4;1;3;1
0;15;1;0;449;1;1;3;1;4;3;1;3;5;4;5;3;2,833333333;0
0;49;1;2;1416;3;4;2;3;2;2;4;2;5;5;4;2;3,166666667;0
1;41;1;2;2388;2;2;5;5;4;4;4;4;4;5;4;5;4;1
1;43;1;2;1678;1;2;3;4;4;2;2;2;2;4;2;5;2,75;1
1;60;1;2;1972;5;2;4;3;5;5;5;5;5;5;5;3;4,333333333;1
1;42;0;0;337;4;4;3;3;3;3;3;4;1;2;3;2;2,916666667;1
1;8;0;0;253;3;3;4;3;4;4;5;5;2;4;3;4;3,666666667;0
1;42;1;0;212;5;3;5;3;5;5;5;5;5;5;5;2;4,416666667;1
0;18;1;1;342;1;1;3;1;3;3;2;1;4;1;3;3;2,166666667;0
1;47;1;2;3556;2;2;3;5;3;5;5;5;5;3;5;4;3,916666667;1
0;27;1;0;191;4;4;5;4;5;5;2;1;3;2;3;5;3,583333333;0
1;67;0;1;693;3;3;5;1;2;1;1;3;1;1;1;4;2,166666667;0
0;38;1;2;641;5;5;2;5;2;2;5;5;4;3;5;2;3,75;1
0;20;1;0;471;4;4;3;4;3;3;4;3;4;5;4;3;3,666666667;0
1;60;1;2;3823;2;1;4;4;4;5;5;4;5;3;5;3;3,75;1
0;23;1;2;282;4;4;4;4;4;4;3;3;5;3;4;4;3,833333333;1
0;25;1;2;544;3;3;2;3;2;2;4;2;5;4;4;2;3;0
1;38;1;2;2955;3;3;3;5;5;4;4;4;4;3;4;3;3,75;1
1;40;1;2;2806;1;1;3;1;5;5;5;5;5;5;5;5;3,833333333;1
1;19;0;0;587;3;3;1;3;1;1;5;3;5;4;4;1;2,833333333;0
1;61;1;2;2073;3;3;4;5;4;4;4;4;4;4;4;5;4;1
1;44;0;0;1249;3;3;5;3;5;5;5;2;3;4;4;5;3,916666667;0
1;22;0;0;284;3;3;3;3;3;3;4;5;5;3;5;3;3,583333333;0
0;8;1;0;946;2;2;3;2;3;3;1;5;3;4;3;3;2,833333333;0
1;45;1;2;3947;3;4;3;4;4;3;3;3;3;4;3;3;3,333333333;0
1;46;0;0;895;4;4;1;4;1;1;2;1;3;3;5;1;2,5;1
1;54;1;2;1634;3;5;4;4;4;3;3;3;3;3;3;1;3,25;0
1;62;0;0;588;2;1;1;1;1;1;1;4;3;2;3;1;1,75;0
1;25;1;2;2533;5;5;2;2;2;2;5;1;2;1;3;2;2,666666667;1
1;32;0;0;641;3;3;2;3;2;2;4;5;4;5;4;2;3,25;0
1;65;0;0;581;4;4;4;4;4;1;1;4;1;4;1;5;3,083333333;0
0;40;1;2;223;2;2;2;2;2;2;4;4;4;3;5;2;2,833333333;0
1;30;1;1;326;0;0;2;0;2;2;4;1;3;4;5;2;2,083333333;1
1;67;0;0;599;3;3;1;1;2;3;3;3;3;2;3;1;2,333333333;0
1;51;1;2;2075;5;5;2;5;5;5;5;5;5;3;5;3;4,416666667;1
1;47;1;2;964;5;4;5;4;5;5;5;5;5;4;5;3;4,583333333;1
1;38;1;0;599;1;4;1;1;1;1;2;3;3;3;3;1;2;0
1;54;1;2;3138;1;1;5;5;4;4;4;4;4;3;4;4;3,583333333;1
1;57;0;0;251;1;0;3;2;3;1;1;0;3;5;1;3;1,916666667;0
1;13;0;0;1119;1;1;2;1;2;2;3;4;4;5;5;2;2,666666667;0
0;20;1;0;337;4;4;4;4;4;4;3;5;4;4;5;4;4,083333333;1
1;45;1;2;759;2;2;2;2;1;2;2;2;2;3;2;4;2,166666667;0
1;51;1;2;2344;2;2;3;4;5;3;3;3;3;3;3;3;3,083333333;1
0;25;1;2;296;0;0;2;0;2;2;4;4;4;5;5;2;2,5;1
1;39;0;0;1005;1;2;2;1;5;5;2;4;5;5;4;5;3,416666667;0
1;46;1;2;580;3;3;3;5;4;4;4;4;4;3;4;5;3,833333333;1
1;53;1;0;359;1;3;1;1;1;1;1;2;3;4;4;1;1,916666667;0
1;61;0;0;1217;0;0;5;5;5;4;4;0;4;4;4;4;3,25;1
1;61;1;1;384;4;5;3;3;2;4;4;4;4;3;4;5;3,75;1
1;16;0;0;2586;3;3;4;3;4;4;5;2;4;5;4;4;3,75;0
1;44;1;2;2903;2;1;2;3;3;2;2;2;2;3;2;1;2,083333333;0
1;17;1;2;3170;5;5;5;5;5;5;1;3;3;1;5;5;4;1
1;50;1;0;1276;2;2;4;2;3;2;2;2;2;1;2;1;2,083333333;0
0;40;1;2;825;4;4;5;4;5;5;5;3;4;3;5;5;4,333333333;1
1;47;1;2;2204;5;5;4;4;4;2;2;2;2;4;2;3;3,25;1
1;80;1;2;3464;1;1;2;4;4;4;4;4;4;5;4;4;3,416666667;1
1;38;0;0;562;5;5;4;5;4;4;1;1;3;4;3;4;3,583333333;1
1;31;0;0;404;5;5;3;5;3;3;4;2;4;4;4;3;3,75;1
1;59;1;2;1199;4;2;5;4;4;4;4;4;4;3;4;1;3,583333333;0
1;22;1;2;1968;4;4;4;4;4;4;1;2;3;4;4;4;3,5;0
1;53;1;2;2560;5;5;5;4;5;3;3;3;3;3;3;3;3,75;1
1;56;1;1;308;4;2;5;3;4;4;4;4;4;5;4;2;3,75;1
1;48;0;0;362;4;5;2;4;5;3;3;5;3;5;3;4;3,833333333;0
0;38;1;2;1562;3;3;2;3;2;2;5;2;5;3;4;2;3;0
1;64;0;0;129;1;1;1;1;1;1;3;2;5;4;4;1;2,083333333;0
1;67;0;0;591;2;2;5;2;3;5;4;4;4;3;5;5;3,666666667;0
1;62;1;2;3692;2;4;3;4;2;4;4;4;4;1;4;2;3,166666667;1
1;57;1;2;1859;1;1;2;5;5;4;4;4;4;5;4;5;3,666666667;1
0;27;1;0;986;2;1;1;2;1;1;1;5;1;1;3;1;1,666666667;0
0;25;1;0;1024;1;1;5;1;5;5;1;4;4;1;4;5;3,083333333;0
1;52;1;0;919;3;4;3;2;2;3;3;3;3;1;3;1;2,583333333;0
1;45;1;1;576;4;2;3;1;3;4;4;4;4;5;4;2;3,333333333;1
0;23;1;0;423;3;3;1;3;1;1;2;2;3;3;3;1;2,166666667;0
1;55;1;0;1416;5;2;5;5;5;5;4;3;5;2;5;5;4,25;1
1;53;1;2;1464;3;2;5;4;4;3;3;3;3;3;3;3;3,25;0
1;9;0;0;715;4;4;1;4;1;1;5;4;4;4;4;1;3,083333333;1
1;33;1;2;541;2;3;4;4;4;4;5;2;5;3;4;4;3,666666667;1
0;64;1;2;293;3;3;3;3;3;3;4;4;4;4;4;3;3,416666667;0
0;8;1;0;2092;2;3;4;2;4;4;4;3;3;3;3;4;3,25;0
1;34;0;0;1053;4;4;3;4;3;3;3;2;5;3;5;3;3,5;0
1;59;0;0;2521;1;1;1;3;5;2;3;3;2;5;2;5;2,75;0
1;13;1;2;2544;3;3;3;3;3;3;4;3;4;3;3;3;3,166666667;0
1;44;0;0;158;4;4;2;4;2;2;2;5;1;4;5;2;3,083333333;0
1;54;1;2;1741;1;1;4;4;5;4;4;4;4;4;4;3;3,5;1
1;36;1;2;2651;4;4;3;4;4;5;5;5;5;5;5;3;4,333333333;1
1;11;0;0;760;3;3;5;3;5;5;3;5;5;4;4;5;4,166666667;0
1;32;0;0;1036;1;1;5;1;5;5;5;5;5;5;4;5;3,916666667;0
1;42;1;0;2586;1;3;1;1;1;3;5;2;3;1;4;1;2,166666667;0
0;27;1;0;1081;1;1;2;1;2;2;1;5;3;3;1;2;2;0
1;33;0;0;646;2;2;3;2;3;3;4;1;3;2;5;3;2,75;0
1;28;1;2;308;1;3;1;1;1;1;3;3;3;3;3;1;2;0
1;44;0;0;227;4;0;2;0;2;2;3;4;4;5;5;2;2,75;1
0;49;1;0;1754;3;3;4;3;5;4;1;4;3;4;4;4;3,5;0
1;59;1;2;2176;2;2;3;5;2;5;5;5;5;4;5;4;3,916666667;1
0;20;1;2;271;0;0;1;0;1;1;5;4;4;4;4;1;2,083333333;1
1;46;1;2;1522;3;3;3;5;4;4;4;4;4;3;4;5;3,833333333;1
1;36;1;0;325;5;5;5;5;5;5;1;5;3;1;3;5;4;1
1;62;1;2;3217;2;2;5;4;4;4;4;4;4;4;4;5;3,833333333;1
1;59;1;2;1491;3;3;2;4;4;3;3;2;3;4;3;3;3,083333333;1
1;29;0;0;331;3;3;3;3;3;3;5;4;2;2;4;3;3,166666667;0
0;41;1;2;371;2;2;1;2;1;1;4;4;2;1;1;1;1,833333333;0
1;7;0;0;727;1;1;4;1;4;4;4;1;1;5;4;4;2,833333333;0
1;65;0;2;1249;3;3;4;4;4;3;3;3;3;4;3;5;3,5;0
1;50;1;2;2614;2;2;5;4;4;2;4;4;2;4;2;4;3,25;1
1;20;1;0;951;2;3;2;2;4;2;3;5;3;1;4;2;2,75;0
1;58;1;2;2498;3;3;4;4;4;5;5;5;5;4;5;3;4,166666667;1
1;45;0;1;545;2;2;4;1;1;2;2;2;4;4;2;3;2,416666667;0
1;46;0;1;1838;1;1;5;1;5;5;3;2;5;4;5;5;3,5;0
1;43;1;2;3724;3;3;4;4;5;5;5;5;5;4;5;3;4,25;1
0;26;1;2;280;2;2;2;2;2;2;2;3;2;2;3;2;2,166666667;0
1;41;1;1;641;5;1;5;5;5;5;3;4;3;5;5;5;4,25;1
1;50;0;0;488;3;3;3;4;5;5;5;3;5;5;5;3;4,083333333;0
1;38;0;2;1237;3;3;4;3;4;5;5;3;5;5;5;5;4,166666667;0
0;38;1;0;1062;1;1;3;1;3;3;4;1;4;5;3;3;2,666666667;0
1;55;1;2;2699;2;2;2;5;4;3;3;3;3;4;3;4;3,166666667;1
1;49;1;2;679;1;1;2;5;4;4;4;4;4;2;4;1;3;1
0;33;1;2;423;4;4;4;4;4;4;3;2;4;5;5;4;3,916666667;0
1;57;1;2;4817;4;4;5;5;5;3;3;4;4;5;4;5;4,25;1
1;35;1;2;3833;3;3;3;2;3;5;5;5;5;4;5;4;3,916666667;1
1;40;1;2;2559;5;5;3;5;5;4;4;4;4;3;4;3;4,083333333;1
0;37;1;1;373;4;4;3;4;3;3;4;4;1;1;1;3;2,916666667;0
1;52;0;0;2279;2;2;2;4;2;5;3;4;5;2;4;2;3,083333333;0
1;41;1;0;862;2;2;2;2;2;2;3;5;2;3;3;2;2,5;1
1;14;0;0;666;3;3;3;1;1;4;2;1;5;1;4;1;2,416666667;0
1;32;1;2;759;2;2;5;4;5;5;3;5;4;4;4;5;4;1
1;11;0;0;2338;2;2;2;1;1;3;2;4;5;1;4;1;2,333333333;0
1;12;0;0;946;1;1;2;1;2;2;1;3;2;2;3;2;1,833333333;0
1;41;1;0;772;4;3;4;4;4;4;2;1;4;4;3;4;3,416666667;1
0;45;1;2;1011;3;2;4;3;4;4;4;3;4;4;5;4;3,666666667;0
0;21;1;0;257;2;2;5;2;1;5;1;5;1;4;5;5;3,166666667;0
1;31;1;0;164;2;3;2;2;2;2;3;3;3;1;3;2;2,333333333;0
1;38;1;0;166;4;2;4;4;4;4;5;5;4;4;5;4;4,083333333;1
1;40;1;2;2280;4;4;3;5;5;5;5;5;5;4;5;5;4,583333333;1
1;13;0;0;590;5;5;5;5;5;5;4;4;4;4;4;5;4,583333333;1
1;44;1;2;1597;2;2;3;4;4;2;2;2;2;5;2;4;2,833333333;1
1;66;1;2;2264;3;4;5;4;4;3;3;3;3;2;3;4;3,416666667;0
1;30;1;1;814;5;5;5;5;5;5;3;2;1;2;3;5;3,833333333;1
1;44;0;0;1024;3;3;4;3;4;4;1;1;4;3;3;4;3,083333333;0
1;53;1;2;3276;0;0;4;5;4;3;3;3;3;5;3;5;3,166666667;1
1;37;1;2;2567;2;4;4;4;4;5;5;5;5;3;5;5;4,25;1
1;39;0;0;889;2;2;3;2;3;3;3;3;4;3;4;3;2,916666667;0
0;29;1;2;1009;2;2;3;2;3;3;3;5;4;5;4;3;3,25;0
1;38;1;0;198;4;5;4;4;4;4;3;4;4;4;3;4;3,916666667;0
1;59;1;2;1598;3;3;4;3;4;5;5;5;5;3;5;5;4,166666667;1
1;19;0;0;873;1;1;4;1;4;4;3;4;4;3;5;4;3,166666667;0
1;39;1;2;1399;4;2;4;4;5;5;5;5;5;3;5;5;4,333333333;1
1;22;0;0;1145;3;3;4;3;4;4;5;2;4;5;5;4;3,833333333;0
1;50;0;1;282;0;0;4;0;3;4;4;4;4;3;4;4;2,833333333;1
1;22;1;0;1076;5;1;5;5;5;5;3;1;2;2;1;5;3,333333333;1
1;56;1;2;3927;4;4;5;5;5;4;4;4;4;4;4;4;4,25;1
1;39;0;0;507;3;4;4;4;4;4;5;5;4;3;5;4;4,083333333;0
1;29;0;0;325;4;4;5;4;5;5;2;5;4;3;4;5;4,166666667;1
1;42;1;2;3404;5;5;3;5;4;5;5;5;5;3;5;3;4,416666667;1
1;56;1;2;2387;4;4;2;5;4;3;3;4;3;4;3;3;3,5;1
1;27;1;2;192;3;3;4;4;3;4;2;3;2;1;3;4;3;1
0;21;1;0;972;2;2;4;2;4;4;5;4;5;3;5;4;3,666666667;0
1;42;1;2;362;1;1;4;5;4;5;5;4;5;4;5;5;4;1
1;48;1;2;1587;1;1;5;4;5;4;4;4;4;4;4;3;3,583333333;1
1;53;1;2;2611;4;4;4;3;5;4;4;4;4;3;4;4;3,916666667;1
1;64;0;0;651;4;4;2;4;4;2;2;4;2;3;2;5;3,166666667;0
1;49;0;0;342;3;3;4;4;4;4;4;3;4;3;4;5;3,75;0
1;49;1;2;1625;5;5;4;4;4;5;5;5;5;4;5;5;4,666666667;1
1;23;0;1;361;2;3;3;3;3;3;5;5;4;4;5;3;3,583333333;0
1;50;1;2;3511;3;3;1;1;1;3;3;3;3;4;3;3;2,583333333;0
1;51;0;1;927;1;1;2;1;5;2;3;5;4;4;4;2;2,833333333;0
1;34;1;2;3666;4;4;5;4;5;5;5;5;5;3;5;3;4,416666667;1
1;49;1;2;1187;1;1;3;5;4;3;3;3;3;4;3;3;3;1
1;56;1;0;106;5;2;4;1;2;5;5;5;5;4;5;3;3,833333333;1
1;46;1;2;235;2;2;3;5;4;4;4;4;4;3;4;3;3,5;1
1;25;0;0;965;2;2;2;2;2;2;4;4;4;4;5;2;2,916666667;0
1;68;0;1;936;3;3;4;4;5;5;5;3;5;4;5;4;4,166666667;0
1;10;0;0;1558;2;2;1;2;1;1;3;2;3;4;4;1;2,166666667;0
1;44;1;0;222;4;1;2;5;5;3;3;4;3;4;3;3;3,333333333;1
